label,question
5,Apa yang perlu saya lakukan untuk menyembuhkan Grave's Disease?
6,Komplikasi apa saja yang dapat terjadi pada penyakit Grave's?
6,Apa komplikasi dari penyakit Grave's?
5,Apa rekomendasi obat untuk penyakit Grave's?
5,Bagaimana cara dokter mengobati penyakit Grave's?
3,Apa saja gejala penyakit Grave's?
5,Bagaimana cara penyakit Grave's ditangani?
5,Apa sih obat yang bagus untuk menyembuhkan Grave's?
4,Bagaimana cara dokter mendiagnosa penyakit Grave's?
4,Bagaimana diagnosis untuk penyakit Graves?
5,Apa penanganan terbaik untuk penyakit Graves?
4,Apa langkah diagnosis yang dilakukan terhadap penyakit tiroid?
4,Apa tes yang dilakukan untuk memeriksa sakit tiroid?
4,Apa yang dilakukan dokter untuk diagnosis sakit tiroid?
4,Bagaimana seseorang dikatakan menderita Graves?
4,Tes apa saja untuk mengetahui Graves?
4,Apa pemeriksaan untuk sakit Graves?
4,Tes apa yang mengkonfirmasi sakit tiroid?
5,Apa pengobatan paling aman untuk penyakit Graves?
4,Bagaimana dokter dapat mengetahui penyakit Graves?
4,Bagaimana langkah mengetahui penyakit Graves?
4,Cara dokter mendiagnosa Graves?
4,Apa pemeriksaan yang perlu dilakukan untuk Graves?
4,Bagaimana prosedur memeriksa penyakit Graves?
4,Bagaimana cek saya menderita Graves?
3,Apa tanda awal yang perlu saya perhatikan?
4,Apa diagnosis awal untuk sakit Graves?
4,Apa pemeriksaan yang perlu saya lakukan?
4,Bagaimana cara memeriksa penyakit Graves?
4,Apakah penyakit Graves dapat di diagnosa?
4,Apa saja langkah pemeriksaan penyakit Graves?
4,Apa tes yang perlu dilakukan untuk penyakit Graves?
7,Apa hubungannya tiroid dengan penyakit Graves?
5,Apa makanan yang dapat menjadi penyembuh hipertiroid?
5,Makan apa yang bisa menyembuhkan hipertiroid?
2,Apakah hipertiroid termasuk jenis penyakit yang berbahaya?
3,Apakah tangan tremor menjadi tanda penyakit hipertiroid?
3,Apakah tangan tremor menjadi gejala penyakit hipertiroid?
5,Apakah ada obat herbal untuk hipertiroid?
5,Apakah ada obat alami untuk penyakit hipertiroid?
5,Penyakit hipertiroid apakah dapat diobati dengan obat alami?
5,Penyakit hipertiroid apakah dapat diobati dengan obat herbal?
3,Apakah rambut memutih menjadi tanda dari penyakit hypertiroid?
7,Hipertiroid harus makan berapa kali sehari?
3,Apabila terkena hipertiroid akan sering sakit lambung?
2,Apakah wanita lebih sering terkena hipertiroid?
3,Apakah merokok meningkatkan risiko penyakit Grave's?
6,Apakah sistem imun terganggu dengan adanya penyakit Grave's?
3,Apa gejala yang paling sering terjadi pada penderita hipertiroid?
3,Apa gejala yang paling terlihat pada penderita hipertiroid?
4,Apa saja tes yang dilakukan untuk mendiagnosa penyakit Grave's?
4,Apa tes yang menjadi penunjang diagnosa penyakit Grave's?
5,Apakah terapi yodium radioaktif menjadi obat hipertiroid yang efektif?
5,Apakah penderita penyakit Grave's memerlukan operasi?
5,Bagaimana cara melakukan perawatan mandiri terhadap hipertiroid?
1,Apakah penyakit Grave's merupakan penyakit autoimun?
2,Bagaimana cara mengurangi risiko terkena penyakit Grave's?
1,Apakah penyakit Grave's merupakan penyakit genetik?
6,Apakah gangguan jantung termasuk komplikasi dari penyakit Grave's?
6,Apakah dapat terjadi keguguran bila saat hamil terkena penyakit Grave's?
6,Apakah dapat terjadi kelahiran prematur bila saat hamil terkena penyakit Grave's?
5,Apakah butuh terapi lanjutan setelah melakukan operasi tiroid?
1,Jelaskan definisi penyakit Grave's!
1,Jelaskan apa itu penyakit Grave's!
1,Apakah yang dimaksud dengan penyakit Graves?
1,Apakah penyakit Graves berhubungan dengan hormon tubuh?
1,Apakah penyakit Graves dengan hormon Tiroid saling berkaitan?
1,Apakah penyakit Graves disebabkan oleh autoimun pada kelenjar Tiroid?
1,Apakah penyakit Graves disebabkan karena gangguan pada kelenjar Tiorid?
1,Apakah penyakit Graves menyebabkan kadar hormon Tiroid dalam tubuh meningkat drastis?
1,Apakah penyakit Graves merupakan salah satu penyakit metabolisme tubuh?
5,Apakah penderita penyakit Graves harus minum obat seumur hidup?
5,Obat apa saja yang perlu dikonsumsi oleh seseorang yang menderita penyakit Graves?
5,Apakah penyakit Graves bisa sembuh total?
2,Apa sajakah faktor yang menyebabkan seseorang mengalami penyakit Graves?
1,Apakah penyakit Graves sama dengan penyakit hipertioid?
1,Apakah penyakit Graves sama dengan penyakit hipertiroidisme?
4,Bagaimana cara dokter mendiagnosis penyakit Graves pada seseorang?
4,Apa sajakah jenis pemeriksaan yang harus dilalui untuk mendiagnosis penyakit Graves?
4,Apakah seseorang perlu pemeriksaan kadar tiroid untuk mendiagnosis penyakit Graves?
4,Aapa saja pemeriksaan laboratorium yang diperlukan untuk mendiagnosis penyakit Graves?
5,"Dok, saya mau nanya saya sakit penyakit Graves dan masih mengonsumsi obat setiap harinya, apakah harus dikonsumsi setiap hari?"
3,Apakah Graves ophthalmopathy merupakan salah satu gejala penyakit Graves?
3,Apakah keringat yang berlebihan merupakan salah satu gejala penyakit Graves?
3,Apakah tidak tahan panas merupakan salah satu gejala penyakit Graves?
3,Apakah jantung berdebar merupakan salah satu gejala penyakit Graves?
3,Apakah berat badan turun merupakan salah satu gejala penyakit Graves?
3,"Dok, saya mau nanya. Waktu itu saya ada keluhan ngga tahan panas, mudah capek, sama sering berdebar. Kata dokter saya kena penyakit Graves. Apakah benar, dok?"
3,"Dok, ibu saya katanya pernah dibilang sakit Graves. Apakah saya berisiko untuk mengalami yang sama, dok?"
3,Jantung berdebar apakah salah satu gejala dari penyakit Graves?
4,"Dok, gimana sih caranya diagnosis penyakit Graves?"
4,"Dok, katanya kalau periksa penyakit Graves itu pakai pemeriksaan kadar hormon Tiroid. Apakah itu benar, dok?"
4,"Dok, apa saja jenis pemeriksaan buat penyakit Graves ya, dok?"
4,"Dok, apakah pemeriksaan buat penyakit Graves harus lewat bagian radiologi ya, dok?"
4,"Dari hasil lab kapan orang bisa dibilang penyakit Graves ya, dok?"
4,"Apakah orang yang diduga sakit Graves perlu diperiksa kadar hormon Tiroid dan TSH nya ya, dok?"
5,"Apa saja obat buat penyakit Tiroid ya, dok?"
6,Apa itu Graves ophthalmopathy?
6,"Apa saja komplikasi dari penyakit Graves ya, dok?"
6,Apakah penyakit Graves bisa menyebabkan komplikasi ke mata?
6,Apakah penyakit Graves bisa menyebabkan komplikasi ke jantung?
5,Apakah obat-obatan penyakit Graves aman untuk ibu-ibu hamil?
5,"Apakah ibu-ibu hamil tetap perlu minum obat Graves, dok?"
4,"Apakah pemeriksaan penyakit Graves perlu dilakukan biopsi, dok?"
4,Pemeriksaan biopsi jarum halus untuk penyakit Graves?
1,Apakah penyakit Graves merupakan salah satu penyakit autoimun?
1,Apakah penyakit Graves merupakan salah satu gangguan sistem kekebalan tubuh?
1,Apakah penyakit Graves perlu periksa ke dokter?
5,"Dok, saya sedang hamil. Apakah obat-obatan yang dikasih aman untuk ibu-ibu hamil?"
5,Apakah obat-obatan penyakit Graves aman untuk ibu-ibu yang sedang menyusui?
5,"Saya sedang menyusui anak saya yang baru lahir. Apakah obat-obatan yang dokter berikan aman, dok?"
5,Apakah setiap pasien yang menderita penyakit Graves harus dilakukan pembedahan?
5,"Dok, bener ngga ya kalau orang yang sakit Graves harus minum obat seumur hidup?"
5,"Dok, saya dengan kalau orang yang sakit Graves harus minum obat lama. Apakah benar itu, dok?"
6,Apa saja komplikasi yang paling umum di penyakit Graves?
3,Bagaimana ciri orang yang memiliki gejala penyakit Graves?
3,"Dok, saya sering gampang ngantuk sama ngga tahan panas. Apakah itu salah satu gejala penyakit Graves?"
3,"Selamat pagi, dokter. Saya punya keluhan. Berat badan saya susah naik. Apakah itu salah satu gejala penyakit Graves?"
3,Apakah bola mata tampak menonjol merupakan salah satu gejala penyakit Graves?
3,Apakah perasaan cemas dan mudah tersinggung merupakan salah satu gejala penyakit Graves?
3,Apakah mudah lelah merupakan salah satu gejala penyakit Graves?
3,Apakah gemetar pada tangan dan kaki merupakah salah satu gejala penyakit Graves?
3,Apakah tremor merupakan salah satu gejala penyekiat Graves?
3,"Apakah penurunan berat badan, meskipun tidak ada perubahan dalam kebiasaan makan, merupakan salah satu gejala dari penyakit Graves?"
3,Apakah pembesaran kelenjar tiroid merupakan salah gejala penyakit Graves?
3,Apakah pembesaran kelenjar gondok merupakan salah satu gejala penyakit Graves?
3,Apakah perubahan siklus menstruasi merupakan salah satu gejala penyakit Graves?
3,Apakah disfungsi ereksi merupakan salah satu gejala penyakit Graves?
3,Apakah penurunan gairah seksual merupakan salah satu gejala penyakit Graves?
3,Apakah sering buang air besar merupakan salah satu gejala penyakit Graves?
3,Apakah mata terasa sakit dan tertekan merupakan salah satu gejala penyakit Graves?
3,Apakah mata memerah dan meradang merupakan salah satu gejala penyakit Graves?
3,Apakah penglihatan ganda merupakan salah satu gejala penyakit Graves?
2,Apakah riwayat keluarga merupakan salah satu faktor risiko penyakit Graves?
2,Apakah jenis kelamin merupakan salah satu faktor risiko penyakit Graves?
2,Apakah usia merupakan salah satu faktor risiko penyakit Graves?
2,Apakah merokok merupakan salah satu faktor risiko penyakit Graves?
2,Apakah kehamilan merupakan salah satu faktor risiko penyakit Graves?
2,Apakah perempuan lebih berisiko terkena penyakit Graves?
2,Apakah perempuan lebih rentan mengalami penyakit Graves?
2,Apakah orang yang memiliki riwayat keluarga dengan penyakit Graves lebih berisiko daripada dengan yang tidak?
2,Apakah stres bisa memicu munculnya penyakit Graves?
2,Apakah usia dibawah 40 tahun lebih berisiko mengalami penyakit Graves?
4,Apakah orang dengan kecurigaan penyakit Graves perlu dilakukan pemeriksaan tes darah?
4,Apakah orang dengan kecurigaan penyakit Graves perlu dilakukan pemeriksaan USG?
5,"Halo, dok. Saya sudah menderita penyakit Graves selama 9 tahun. Apakah saya masih perlu untuk mengonsumsi obat Tiroid?"
3,Apakah penderita Graves selalu mengalami jantung berdebar?
6,Mata saya terasa mengganjal dan saya sudah menderita penyakit Graves selama 3 tahun. Apakah itu bagian dari komplikasi mata?
3,"Halo, dok. Perkenalkan nama saya Shinta. Kenapa saya mudah lelah, bahkan tidak bisa berdiri lama sebelumnya ya, dok? Kebetulan saya memang didiagnosis Graves disesase beberapa tahun lalu. Apakah itu bagian dari tanda penyakit Graves disesase, dok?"
6,"Dokter saya mau nanya. Mata saya melotot akhir-akhir ini. Saya pernah dibilang sama dokter kalau saya punya penyakit Graves. Apakah penyakit Graves menyebabkan mata saya seperti ini, dok?"
5,"Dokter, saya mau tanya. Kalau obat-obatan buat penyakit Graves itu apa saja ya, dok?"
5,"Saya mau tau, kalau pengobatan buat penyakit Graves itu apakah selalu dengan obat-obatan atau perlu operasi juga ya, dok?"
6,Apakah penyakit Graves bikin penglihatan seseorang terganggu?
1,Apakah penyakit Graves berhubungan dengan autoimun?
1,Apakah penyakit Graves berhubungan dengan gangguan sistem kekebalan tubuh?
1,Apakah gangguan pada kelenjar Tiroid berperan dalam munculnya penyakit Graves?
6,"Dok, saya mau nanya. Kalau penyakit Graves ga diobatin akibatnya bisa apa saja ya, dok?"
6,"Hai, dokter. Saya mau nanya nih, dok. Kalau penyakit Graves itu saya denger bisa menyebabkan gangguan jantung, paling ngga berdebar-debar. Itu benar ngga ya, dok? Terima kasih."
5,"Kira-kira tujuan ngobatin penyakit Graves itu apa ya, dok?"
5,"Dok, saya mau bertanya. Saya menderita penyakti Graves sudah 1 tahun lamanya. Selama itu, saya rutin mengonsumsi obat-obatan rutin, salah satunya PTU. Tapi sejak satu bulan terakhir, ko mata saya jadi menonjol seperti ini. Kira-kira penyakit Graves ini bisa disembuhkan tidak ya, dok?"
6,"Apa bahayanya dari penyakit Graves ini ya, dok?"
6,Apa saja empat bahaya utama dari penyakit Graves?
6,"Apakah penyakit Graves bisa mengakibatkan gangguan pada tulang dan osteoporosis, dok?"
6,"Dok, nama saya Ani. Saya mau bertanya, dok. Saya baru saja menikah 1 tahun yang lalu. Saat ini saya belum punya anak. 4 bulan yang lalu, dokter bilang kalau saya terkena penyakit Graves. Kira-kira penyakit Graves ini mengganggu kesuburan saya tidak ya, dok?"
2,Apakah faktor genetik berpengaruh ke penyakit Graves?
1,Perbedaan hipertiroidisme dengan penyakit Graves?
6,"Dokter, izin tanya. Kata orang penyakit Graves ini bisa bikin keropos tulang. Itu benar ngga ya, dok?"
6,"Saya cari di internet katanya penyakit Graves ini bisa menyebabkan tulang jadi lemah dan akhirnya keropos. Itu fakta atau hoaks ya, dok?"
6,"Kata dokter penyakit Graves bisa membuat gangguan kesuburan, apakah itu benar, dok?"
3,"Mata melotot terus waspada penyakit Graves, benarkah?"
3,"Dok sya punya masalah berat badan yang turun drastis, sering diare, dan susah tidur. Ditambah, akhir-akhir ini mata saya terasa menonjol dan tidak nyaman. Mohon jawabannya, dokter. Terima kasih."
5,"Selamat pagi, dokter. Perkenalkan nama saya Enzyy, saya mau bertanya tentang penyakit yang saya derita ini. Tiga bulan yang lalu saya datang ke dokter dengan keluhan susah tidur, sering BAB, dan badan terasa lemas. Saya sudah periksa darah dan kata dokter saya terkena penyakit Graves. Saya disuruh minum obat lama, katanya paling tidak satu tahun kemudian diperiksa lagi. Apakah ada cara cepat untuk penyembuhan penyakit saya ini, dok? Terima kasih."
3,"Sore, dokter. Saya mau bertanya leher sebelah kiri saya terasa lebih bengkak dan hangat, diraba kyknya sedikit agak keras. Kira-kira kenapa ya, dok? Terima kasih."
6,"Hallo, dokter. Saya Khansa, disini saya penderita penyakit Graves. Izin bertanya, dok. Saya sekarang merasa mata saya lebih menonjol, padahal saya sudah minum obat rutin. Kira-kira apakah ada jalan lain untuk pengobatan keluhan saya itu, dok? Terima kasih."
5,"Pagi dokter saya sekarang menderita penyakit Graves dan leher terasa bengkak dan tidak nyaman. Apakah ada saran agar leher saya tidak bengkak lagi, dok? Terima kasih."
5,"Dokter, saya seorang ibu berusia 34 tahun. Saat ini saya merasakan perbedaan mata kanan dan kiri saya. Mata kiri saya tampaknya lebih menonjol. Saya penderita hipertiroid sudah sejak 6 bulan yang lalu. Kalau seperti ini penanganannya seperti apa ya, dok? Terima kasih."
3,"Assalamualaikum, dokter. Saya disini seorang wanita usia 20 tahun. Saya resah dengan pembengkakan yang ada di leher kanan saya. Saya cari-cari di Internet katanya itu tanda penyakit Graves. Pemeriksaan apa yang harus saya jalani ya, dok? Terima kasih. Wassalmualaikum wr. wb."
6,"Dokter, saya baru kena penyakit Graves beberapa waktu ini. Saya seorang vokalis di salah satu band. Setelah saya didiagnosis penyakit Tiroid, saya merasa suara saya lebih serak. Apakah ini karena penyakit Graves saya ya, dok?"
5,"Siang dok... Saya izin bertanya, tahun 2017 lalu saya sudah melakukan operasi tiroid karena masalah penyakit hipertiroid saya (penyakit Graves). Setelah operasi saya mendapatkan obat eutyrox agar mata saya tidak menonjol kembali. Apakah ini efektif, dok? Terima kasih."
2,"Selamat pagi, dokter. Saya baca di Internet kalau masalah hipertiroid, salah satunya penyakit Graves, sering ditemukan pada wanita muda, umumnya usia 20-40 tahun. Kira-kira itu kenapa ya, dok? Makasih."
2,"Pagi, dokter. Saya Murti, 24 tahun. Waktu tahun 2018 lalu ibu saya didiagnosis dokter penyakit Graves. Waktu itu gejalanya gemeteran dan suka keluar keringat. Nah, sekarang saya ada keluhan yang sama seperti ibu, ditambah berat badan yang turun drastis dan gelisah. Kira-kira apakah keluhan saya sekrang mirip dengan penyakit ibu yang waktu lalu itu?"
3,"Met pagi, dok. Saya mau bertanya. Kata orang-orang dekat saya katanya mata kanan saya keliatan lebih menonjol. Padahal saya tidak ada keluhan apa-apa. Itu kira-kira kenapa ya, dok?"
3,"Hallo, dokter. Saya mau menanyakan keluhan yang dialami oleh adik saya. Adik saya seorang pecandu game. Setiap hari, setiap selesai sekolah, kerjannya main game. Jadi ya udah biasa tuh ngeliatin layar berjam-jam. Tapi katanya akhir-akhir ini adik saya mengeluhkan matanya lebih menonjol dan mengganjal. Tidak sakit, tapi mengganggu. Terus juga, kyknya sekarang adik saya lebih kurusan, padahal dia makan kyknya normal-normal aja. Itu kenapa ya, dok? Terima kasih."
3,"Dokter, saya ngaca bola mata kanan saya keliatannya lebih menonjol. Rasanya mengganggu, tapi kalau dipencet juga rasanya sakit. Itu kira-kira kenapa ya, dok? Makasih."
1,"Dok, tanya dong. Penyakit Graves itu apa ya? Makasih"
5,"Met siang, dok. Saya ada keluhan gelisah terus sering berdebar. Kata saudara, katanya hati-hati penyakit Graves. Saya jadi takut, dok. Harus periksa apa buat penyakit ini ya?"
6,"Dokter mau tanya, dong. Baca di Internet katanya penyakit Graves bisa ngaruhin jantung. Kira-kira bisa bikin serangan jantung ngga ya? Makasih."
2,"Faktor risiko penyakit Graves ini apa saja selain faktor genetik keluarga ya, dok?"
5,"Selamat pagi, dokter. Mohon maaf, saya izin konsultasi, dok. Saudara saya sudah 3 tahun mengalami penyakit Graves. Katanya dia selalu rutin minum obat, tapi rasanya ya tidak nyaman. Dia nanya, kira-kira penyakit Graves bisa sembuh tanpa obat tidak ya, dok? Misalnya operasi gitu, dok? Terima kasih."
5,Apakah PTU merupakan obat untuk penyakit Graves?
5,Apakah methimazole merupakan obat untuk penyakit Graves?
5,Apakah obat-obatan penyakit Graves aman dikonsumsi untuk ibu-ibu hamil.
3,Apakah benjolan di leher selalu dikaitkan dengan penyakit Graves?
3,Apakah penyakit Graves menyebabkan gangguan dalam konsentrasi?
5,Kapan kita memerlukan operasi untuk penanganan penyakit Graves?
2,"Dokter, apakah penyakit Graves bisa menular, dok? Terima kasih."
5,"Selamat siang, dokter. Saya izin bertanya, dok. Kalau prinsip pengobatan pada penyakit Graves itu seperti apa ya, dok? Terima kasih."
5,"Assalamualaikum, dok. Saya Tiara, mau nanya, dok. Saya punya saudara yang sekarang sakit Graves. Didiagnosis baru 3 bulan lalu. Mau nanya, kalau pengobatannya hanya bisa dengan obat minum saja atau ada pilihan lainnya kah, dok? Terima kasih."
5,"Dokter, apakah semua penyakit Graves perlu dilakukan operasi, dok?"
5,"Apakah obat-obatan penyakit Graves dapat menyebabkan efek samping bagi tubuh, dok?"
5,"Selamat malam, dokter. Saya mendengar kalau obat buat penyakit Graves itu ada dua ya, dok. Namanya PTU dan Methimazole. Apakah kedua obat itu sama saja atau bagaimana ya, dok? Terima kasih."
1,Apakah penyakit Graves sama dengan Graves disease?
1,Apakah diagnosis banding dari penyakit Graves?
6,Kenapa mata menonjol dapat terjadi pada penyakit Graves?
2,"Selain autoimun, faktor risiko apa lagi yang dapat menyebabkan penyakit Graves?"
4,Pemeriksaan darah pada diagnosis penyakit Graves untuk apa?
1,Penyakit Graves
1,Graves disease
1,Penyakit gangguan hormon tiroid akibat autoimun
1,Penyakit kelebihan hormon tiroid akibat autoimun
1,Hipertiroidisme akibat autoimum apakah selalu berarti penyakit Graves?
2,"Penyakit Graves lebih mungkin menyerang perempuan daripada laki-laki, apakah benar?"
2,"Penyakit Graves lebih mungkin mengenai wanita daripada pria, apakah benar?"
6,Apakah penyakit Graves dapat menyebabkan kerusakan pada tulang dan osteoporosis?
1,Apakah yang dimaksud dengan remisi penyakit Graves?
1,Apakah mungkin penyakit Graves hilang selamanya dari tubuh?
2,Apakah usia dan jenis kelamin berhubungan dengan kejadian penyakit Graves?
2,Apakah penyakit autoimun lain berhubungan dengan penyakit Graves?
1,Graves disease adalah penyakit apa?
1,Apakah penyebab penyakit Graves ini adalah virus?
1,Apakah penyebab penyakit Graves ini adalah bakteri?
2,Apakah kebiasaan merokok dapat menyebabkan penyakit Graves?
2,Apakah stres dapat menyebabkan penyakit Graves?
3,Apakah tidak bisa ereksi saat berhubungan seksual merupakan salah satu gejala dari penyakit Graves?
3,Apakah sulit tidur dan rasa gelisah merupakan salah satu gejala dari penyakit Graves?
5,Apakah obat methimazole itu?
5,Apakah obat propilthiouracil (PTU) itu?
3,"Selamat siang, dokter. Anak saya yang berusia 6 tahun memilih keluhan mata yang menonjol disertai dengan keluhan kelopak warna yang berwarna kebiruan. Apakah itu merupakan hal yang wajar, dok?"
3,"Siang, dokter. Saya mau bertanya, suami saya akhir-akhir ini mengalami keluhan mata kirinya seperti agak menonjol dan terasa tidak nyaman. Selain itu, matanya juga seperti keliatan kemerahan, berair, dan gatal. Sudah berobat ke dokter umum, tapi sepertinya belum membaik, dok. Mohon informasi sebaiknya apa yang harus saya lakukan, dokter? Terima kasih."
5,"Halo, dokter. Saya Yulia, 29 tahun. Saya sudah menderita penyakit Graves 6 tahun lamanya. Akan tetapi, baru kali ini saya merasakan sakit pada leher saya dan kini benjolan di leher saya berukuran seperti telur puyuh. Saya sempat rutin meminum obat yang diberikan, tetapi saat ini sedang tidak. Apakah ada solusi untuk saya, dokter? Terima kasih."
3,"Met, dokter. Suami saya belakangan ini matanya semakin menonjol dan tampak juling. Suami saya penderita Graves, tetapi selalu obat rutin. Apakah yang harus saya lakukan ya, dok? Terima kasih."
1,"Halo dok... Saya seorang wanita berusia 34 tahun. Akhir-akhir ini saya mengeluhkan badan lemas, mudah gemetar, dan penglihatan sedikit terganggu. Saya berkaca di depan cermin, tampaknya mata kiri saya terlihat lebih menonjol. Saya sudah datang ke dokter dan diperiksakan kadar TSH. Hasilnya tinggi dan saya dicurigai penyakit Graves. Saya takut dengan penyakit ini, apakah bisa sembuh, dok? Terima kasih."
6,"Hallo, dok. Disini saya seorang penderita penyakit Graves yang matanya menonjol. Mau tanya, dok.. Apakah ada jalan untuk pengobatan mata menonjol saya dengan semacam obat tetes? Supaya tidak merepotkan. Terima kasih."
5,"Pagi dokter... Saya penderita kelenjar tiroid yang terletak di depan leher saya. Keluhan benjolan di leher ini membuat saya tidak nyaman. Karena itu saya juga stress dan sakit kepala luar biasa. Apakah ada solusi untuk itu, dok? Makasih."
4,"Hallo, dok... Saya seorang remaja usia 18 tahun. Saya ada keluhan mata saya di kaca ko keliatan agak sedikit juling ya, dok. Saya sempet cerita ke ibu saya. Kata ibu saya, dulu pernah seperti itu juga dan masalahnya ada di kelenjar gondok. Katanya nama penyakitnya Graves disease. Saya diminta untuk periksa ke dokter. Apakah benar saya juga mengalami penyakit Graves? Terima kasih."
3,Apakah mata juling selalu berarti penyakit Graves?
1,Apakah penyakit Graves disebabkan oleh kelenjar gondok?
2,Apakah penyakit Graves lebih banyak terjadi pada perempuan?
3,"Mata tampak menonjol tanpa disadari, apakah itu salah satu tanda dan gejala penyakit Graves?"
3,Apakah penurunan berat badan drastis dan mata menonjol selalu berarti Graves disease?
3,"Apakah gejala mata membengkak, terasa berair, dan nyeri sudah beberapa bulan curiga penyakit Graves?"
3,Apakah mata menonjol keluar dan kelopak mata yang sulit menutup artinya ada masalah dengan kelenjar gondok saya?
1,Apakah nama lain dari penyakit Graves adalah hipertiroidisme Graves?
1,Apakah nama lain dari penyakit Graves adalah toxic diffuse goiter?
3,"Apakan badan mudah merasa lelah, berat badan turun drastis, dan tidak kuat dengan panas adalah tanda dan gejala penyakit Graves?"
2,"Jika seorang ibu yang menderita penyakit Graves memiliki seorang anak perempuan, apakah mungkin anak perempuannya juga mengalami penyakit Graves?"
5,Bolehkah penyakit Graves langsung dioperasi saja?
6,Apakah risiko kesehatan jika penyakit Graves tidak diberikan pengobatan dengan tepat?
3,Apakah salah satu gejala penyakit Graves pada perempuan adalah perubahan siklus haid?
5,Terapi radioaktif iodin pada penyakit Graves?
5,Obat betablocker pada penyakit Graves untuk apa?
5,Apa saja indikasi pemberikan obat-obat untuk pasien dengan penyakit Graves?
5,Apakah obat-obatan untuk penyakit Graves memiliki efek samping?
5,Apakah kontraindikasi pemberian obat-obatan untuk penyakit Graves?
3,Apakah salah tanda dan gejala dari penyakit Graves adalah otot-otot yang terasa lemas?
3,Apakah periode menstruasi yang tidak teratur adalah salah satu dari tanda dan gejala penyakit Graves?
3,Apakah eksoftalmus pada mata itu?
4,Apakah tes fungsi tiroid pada pasien dengan kecurigaan penyakit Graves diperlukan?
4,Apakah tes serapan yodium radioaktif pada pasien dengan kecurigaan penyakit Graves diperlukan?
4,Apakah tes antibodi pada pasien dengan kecurigaan penyakit Graves diperlukan?
6,Apakah oftalmopati Graves itu?
6,Apakah penyakit Graves dapat mengakibatkan gangguan kehamilan?
6,Apakah penyakit Graves dapat mengakibatkan gangguan pada jantung?
6,Apakah penyakit Graves dapat mengakibatkan keadaan krisis tirotoksik?
6,Apakah penyakit Graves dapat mengakibatkan kerapuhan pada tulang?
6,Apakah penyakit Graves dapat mengakibatkan osteoporosis?
6,Apakah penyakit Graves dapat mengakibatkan preeklamsia pada ibu-ibu hamil?
6,Apakah penyakit Graves dapat mengakibatkan gangguan janin pada ibu-ibu yang sedang hamil?
3,"Apakah kondisi peningkatan fungsi tubuh seperti jantung berdebar-debar, keringat berlebih, berat badan turun tanpa pola merupakan gejala dari penyakit Graves?"
