label,question
300,Apakah bola mata tampak menonjol merupakan salah satu gejala penyakit Graves?
300,Apakah perasaan cemas dan mudah tersinggung merupakan salah satu gejala penyakit Graves?
300,Apakah mudah lelah merupakan salah satu gejala penyakit Graves?
300,Apakah gemetar pada tangan dan kaki merupakah salah satu gejala penyakit Graves?
300,Apakah tremor merupakan salah satu gejala penyekiat Graves?
300,"Apakah penurunan berat badan, meskipun tidak ada perubahan dalam kebiasaan makan, merupakan salah satu gejala dari penyakit Graves?"
300,Apakah pembesaran kelenjar tiroid merupakan salah gejala penyakit Graves?
300,Apakah pembesaran kelenjar gondok merupakan salah satu gejala penyakit Graves?
300,Apakah perubahan siklus menstruasi merupakan salah satu gejala penyakit Graves?
300,Apakah disfungsi ereksi merupakan salah satu gejala penyakit Graves?
300,Apakah penurunan gairah seksual merupakan salah satu gejala penyakit Graves?
300,Apakah sering buang air besar merupakan salah satu gejala penyakit Graves?
300,Apakah mata terasa sakit dan tertekan merupakan salah satu gejala penyakit Graves?
300,Apakah mata memerah dan meradang merupakan salah satu gejala penyakit Graves?
300,Apakah penglihatan ganda merupakan salah satu gejala penyakit Graves?
200,Apakah riwayat keluarga merupakan salah satu faktor risiko penyakit Graves?
200,Apakah jenis kelamin merupakan salah satu faktor risiko penyakit Graves?
200,Apakah usia merupakan salah satu faktor risiko penyakit Graves?
200,Apakah merokok merupakan salah satu faktor risiko penyakit Graves?
200,Apakah kehamilan merupakan salah satu faktor risiko penyakit Graves?
200,Apakah perempuan lebih berisiko terkena penyakit Graves?
200,Apakah perempuan lebih rentan mengalami penyakit Graves?
200,Apakah orang yang memiliki riwayat keluarga dengan penyakit Graves lebih berisiko daripada dengan yang tidak?
200,Apakah stres bisa memicu munculnya penyakit Graves?
200,Apakah usia dibawah 40 tahun lebih berisiko mengalami penyakit Graves?
400,Apakah orang dengan kecurigaan penyakit Graves perlu dilakukan pemeriksaan tes darah?
400,Apakah orang dengan kecurigaan penyakit Graves perlu dilakukan pemeriksaan USG?
500,"Halo, dok. Saya sudah menderita penyakit Graves selama 9 tahun. Apakah saya masih perlu untuk mengonsumsi obat Tiroid?"
300,Apakah penderita Graves selalu mengalami jantung berdebar?
600,Mata saya terasa mengganjal dan saya sudah menderita penyakit Graves selama 3 tahun. Apakah itu bagian dari komplikasi mata?
300,"Halo, dok. Perkenalkan nama saya Shinta. Kenapa saya mudah lelah, bahkan tidak bisa berdiri lama sebelumnya ya, dok? Kebetulan saya memang didiagnosis Graves disesase beberapa tahun lalu. Apakah itu bagian dari tanda penyakit Graves disesase, dok?"
600,"Dokter saya mau nanya. Mata saya melotot akhir-akhir ini. Saya pernah dibilang sama dokter kalau saya punya penyakit Graves. Apakah penyakit Graves menyebabkan mata saya seperti ini, dok?"
500,"Dokter, saya mau tanya. Kalau obat-obatan buat penyakit Graves itu apa saja ya, dok?"
500,"Saya mau tau, kalau pengobatan buat penyakit Graves itu apakah selalu dengan obat-obatan atau perlu operasi juga ya, dok?"
600,Apakah penyakit Graves bikin penglihatan seseorang terganggu?
100,Apakah penyakit Graves berhubungan dengan autoimun?
100,Apakah penyakit Graves berhubungan dengan gangguan sistem kekebalan tubuh?
100,Apakah gangguan pada kelenjar Tiroid berperan dalam munculnya penyakit Graves?
600,"Dok, saya mau nanya. Kalau penyakit Graves ga diobatin akibatnya bisa apa saja ya, dok?"
600,"Hai, dokter. Saya mau nanya nih, dok. Kalau penyakit Graves itu saya denger bisa menyebabkan gangguan jantung, paling ngga berdebar-debar. Itu benar ngga ya, dok? Terima kasih."
500,"Kira-kira tujuan ngobatin penyakit Graves itu apa ya, dok?"
500,"Dok, saya mau bertanya. Saya menderita penyakti Graves sudah 1 tahun lamanya. Selama itu, saya rutin mengonsumsi obat-obatan rutin, salah satunya PTU. Tapi sejak satu bulan terakhir, ko mata saya jadi menonjol seperti ini. Kira-kira penyakit Graves ini bisa disembuhkan tidak ya, dok?"
600,"Apa bahayanya dari penyakit Graves ini ya, dok?"
600,Apa saja empat bahaya utama dari penyakit Graves?
600,"Apakah penyakit Graves bisa mengakibatkan gangguan pada tulang dan osteoporosis, dok?"
600,"Dok, nama saya Ani. Saya mau bertanya, dok. Saya baru saja menikah 1 tahun yang lalu. Saat ini saya belum punya anak. 4 bulan yang lalu, dokter bilang kalau saya terkena penyakit Graves. Kira-kira penyakit Graves ini mengganggu kesuburan saya tidak ya, dok?"
200,Apakah faktor genetik berpengaruh ke penyakit Graves?
100,Perbedaan hipertiroidisme dengan penyakit Graves?
600,"Dokter, izin tanya. Kata orang penyakit Graves ini bisa bikin keropos tulang. Itu benar ngga ya, dok?"
600,"Saya cari di internet katanya penyakit Graves ini bisa menyebabkan tulang jadi lemah dan akhirnya keropos. Itu fakta atau hoaks ya, dok?"
600,"Kata dokter penyakit Graves bisa membuat gangguan kesuburan, apakah itu benar, dok?"
300,"Mata melotot terus waspada penyakit Graves, benarkah?"
300,"Dok sya punya masalah berat badan yang turun drastis, sering diare, dan susah tidur. Ditambah, akhir-akhir ini mata saya terasa menonjol dan tidak nyaman. Mohon jawabannya, dokter. Terima kasih."
500,"Selamat pagi, dokter. Perkenalkan nama saya Enzyy, saya mau bertanya tentang penyakit yang saya derita ini. Tiga bulan yang lalu saya datang ke dokter dengan keluhan susah tidur, sering BAB, dan badan terasa lemas. Saya sudah periksa darah dan kata dokter saya terkena penyakit Graves. Saya disuruh minum obat lama, katanya paling tidak satu tahun kemudian diperiksa lagi. Apakah ada cara cepat untuk penyembuhan penyakit saya ini, dok? Terima kasih."
300,"Sore, dokter. Saya mau bertanya leher sebelah kiri saya terasa lebih bengkak dan hangat, diraba kyknya sedikit agak keras. Kira-kira kenapa ya, dok? Terima kasih."
600,"Hallo, dokter. Saya Khansa, disini saya penderita penyakit Graves. Izin bertanya, dok. Saya sekarang merasa mata saya lebih menonjol, padahal saya sudah minum obat rutin. Kira-kira apakah ada jalan lain untuk pengobatan keluhan saya itu, dok? Terima kasih."
500,"Pagi dokter saya sekarang menderita penyakit Graves dan leher terasa bengkak dan tidak nyaman. Apakah ada saran agar leher saya tidak bengkak lagi, dok? Terima kasih."
500,"Dokter, saya seorang ibu berusia 34 tahun. Saat ini saya merasakan perbedaan mata kanan dan kiri saya. Mata kiri saya tampaknya lebih menonjol. Saya penderita hipertiroid sudah sejak 6 bulan yang lalu. Kalau seperti ini penanganannya seperti apa ya, dok? Terima kasih."
400,"Assalamualaikum, dokter. Saya disini seorang wanita usia 20 tahun. Saya resah dengan pembengkakan yang ada di leher kanan saya. Saya cari-cari di Internet katanya itu tanda penyakit Graves. Pemeriksaan apa yang harus saya jalani ya, dok? Terima kasih. Wassalmualaikum wr. wb."
600,"Dokter, saya baru kena penyakit Graves beberapa waktu ini. Saya seorang vokalis di salah satu band. Setelah saya didiagnosis penyakit Tiroid, saya merasa suara saya lebih serak. Apakah ini karena penyakit Graves saya ya, dok?"
500,"Siang dok... Saya izin bertanya, tahun 2017 lalu saya sudah melakukan operasi tiroid karena masalah penyakit hipertiroid saya (penyakit Graves). Setelah operasi saya mendapatkan obat eutyrox agar mata saya tidak menonjol kembali. Apakah ini efektif, dok? Terima kasih."
200,"Selamat pagi, dokter. Saya baca di Internet kalau masalah hipertiroid, salah satunya penyakit Graves, sering ditemukan pada wanita muda, umumnya usia 20-40 tahun. Kira-kira itu kenapa ya, dok? Makasih."
200,"Pagi, dokter. Saya Murti, 24 tahun. Waktu tahun 2018 lalu ibu saya didiagnosis dokter penyakit Graves. Waktu itu gejalanya gemeteran dan suka keluar keringat. Nah, sekarang saya ada keluhan yang sama seperti ibu, ditambah berat badan yang turun drastis dan gelisah. Kira-kira apakah keluhan saya sekrang mirip dengan penyakit ibu yang waktu lalu itu?"
300,"Met pagi, dok. Saya mau bertanya. Kata orang-orang dekat saya katanya mata kanan saya keliatan lebih menonjol. Padahal saya tidak ada keluhan apa-apa. Itu kira-kira kenapa ya, dok?"
300,"Hallo, dokter. Saya mau menanyakan keluhan yang dialami oleh adik saya. Adik saya seorang pecandu game. Setiap hari, setiap selesai sekolah, kerjannya main game. Jadi ya udah biasa tuh ngeliatin layar berjam-jam. Tapi katanya akhir-akhir ini adik saya mengeluhkan matanya lebih menonjol dan mengganjal. Tidak sakit, tapi mengganggu. Terus juga, kyknya sekarang adik saya lebih kurusan, padahal dia makan kyknya normal-normal aja. Itu kenapa ya, dok? Terima kasih."
300,"Dokter, saya ngaca bola mata kanan saya keliatannya lebih menonjol. Rasanya mengganggu, tapi kalau dipencet juga rasanya sakit. Itu kira-kira kenapa ya, dok? Makasih."
100,"Dok, tanya dong. Penyakit Graves itu apa ya? Makasih"
400,"Met siang, dok. Saya ada keluhan gelisah terus sering berdebar. Kata saudara, katanya hati-hati penyakit Graves. Saya jadi takut, dok. Harus periksa apa buat penyakit ini ya?"
600,"Dokter mau tanya, dong. Baca di Internet katanya penyakit Graves bisa ngaruhin jantung. Kira-kira bisa bikin serangan jantung ngga ya? Makasih."
200,"Faktor risiko penyakit Graves ini apa saja selain faktor genetik keluarga ya, dok?"
500,"Selamat pagi, dokter. Mohon maaf, saya izin konsultasi, dok. Saudara saya sudah 3 tahun mengalami penyakit Graves. Katanya dia selalu rutin minum obat, tapi rasanya ya tidak nyaman. Dia nanya, kira-kira penyakit Graves bisa sembuh tanpa obat tidak ya, dok? Misalnya operasi gitu, dok? Terima kasih."
500,Apakah PTU merupakan obat untuk penyakit Graves?
500,Apakah methimazole merupakan obat untuk penyakit Graves?
500,Apakah obat-obatan penyakit Graves aman dikonsumsi untuk ibu-ibu hamil?
300,Apakah benjolan di leher selalu dikaitkan dengan penyakit Graves?
300,Apakah penyakit Graves menyebabkan gangguan dalam konsentrasi?
500,Kapan kita memerlukan operasi untuk penanganan penyakit Graves?
200,"Dokter, apakah penyakit Graves bisa menular, dok? Terima kasih."
500,"Selamat siang, dokter. Saya izin bertanya, dok. Kalau prinsip pengobatan pada penyakit Graves itu seperti apa ya, dok? Terima kasih."
500,"Assalamualaikum, dok. Saya Tiara, mau nanya, dok. Saya punya saudara yang sekarang sakit Graves. Didiagnosis baru 3 bulan lalu. Mau nanya, kalau pengobatannya hanya bisa dengan obat minum saja atau ada pilihan lainnya kah, dok? Terima kasih."
500,"Dokter, apakah semua penyakit Graves perlu dilakukan operasi, dok?"
500,"Apakah obat-obatan penyakit Graves dapat menyebabkan efek samping bagi tubuh, dok?"
500,"Selamat malam, dokter. Saya mendengar kalau obat buat penyakit Graves itu ada dua ya, dok. Namanya PTU dan Methimazole. Apakah kedua obat itu sama saja atau bagaimana ya, dok? Terima kasih."
100,Apakah penyakit Graves sama dengan Graves disease?
100,Apakah diagnosis banding dari penyakit Graves?
600,Kenapa mata menonjol dapat terjadi pada penyakit Graves?
200,"Selain autoimun, faktor risiko apa lagi yang dapat menyebabkan penyakit Graves?"
400,Pemeriksaan darah pada diagnosis penyakit Graves untuk apa?
100,Penyakit gangguan hormon tiroid akibat autoimun
100,Penyakit kelebihan hormon tiroid akibat autoimun
100,Hipertiroidisme akibat autoimum apakah selalu berarti penyakit Graves?
200,"Penyakit Graves lebih mungkin menyerang perempuan daripada laki-laki, apakah benar?"
200,"Penyakit Graves lebih mungkin mengenai wanita daripada pria, apakah benar?"
600,Apakah penyakit Graves dapat menyebabkan kerusakan pada tulang dan osteoporosis?
700,Apakah yang dimaksud dengan remisi penyakit Graves?
700,Apakah mungkin penyakit Graves hilang selamanya dari tubuh?
200,Apakah usia dan jenis kelamin berhubungan dengan kejadian penyakit Graves?
200,Apakah penyakit autoimun lain berhubungan dengan penyakit Graves?
100,Graves disease adalah penyakit apa?
100,Apakah penyebab penyakit Graves ini adalah virus?
100,Apakah penyebab penyakit Graves ini adalah bakteri?
200,Apakah kebiasaan merokok dapat menyebabkan penyakit Graves?
200,Apakah stres dapat menyebabkan penyakit Graves?
300,Apakah tidak bisa ereksi saat berhubungan seksual merupakan salah satu gejala dari penyakit Graves?
300,Apakah sulit tidur dan rasa gelisah merupakan salah satu gejala dari penyakit Graves?
500,Apakah obat methimazole itu?
500,Apakah obat propilthiouracil (PTU) itu?
300,"Selamat siang, dokter. Anak saya yang berusia 6 tahun memilih keluhan mata yang menonjol disertai dengan keluhan kelopak warna yang berwarna kebiruan. Apakah itu merupakan hal yang wajar, dok?"
300,"Siang, dokter. Saya mau bertanya, suami saya akhir-akhir ini mengalami keluhan mata kirinya seperti agak menonjol dan terasa tidak nyaman. Selain itu, matanya juga seperti keliatan kemerahan, berair, dan gatal. Sudah berobat ke dokter umum, tapi sepertinya belum membaik, dok. Mohon informasi sebaiknya apa yang harus saya lakukan, dokter? Terima kasih."
500,"Halo, dokter. Saya Yulia, 29 tahun. Saya sudah menderita penyakit Graves 6 tahun lamanya. Akan tetapi, baru kali ini saya merasakan sakit pada leher saya dan kini benjolan di leher saya berukuran seperti telur puyuh. Saya sempat rutin meminum obat yang diberikan, tetapi saat ini sedang tidak. Apakah ada solusi untuk saya, dokter? Terima kasih."
300,"Met, dokter. Suami saya belakangan ini matanya semakin menonjol dan tampak juling. Suami saya penderita Graves, tetapi selalu obat rutin. Apakah yang harus saya lakukan ya, dok? Terima kasih."
100,"Halo dok... Saya seorang wanita berusia 34 tahun. Akhir-akhir ini saya mengeluhkan badan lemas, mudah gemetar, dan penglihatan sedikit terganggu. Saya berkaca di depan cermin, tampaknya mata kiri saya terlihat lebih menonjol. Saya sudah datang ke dokter dan diperiksakan kadar TSH. Hasilnya tinggi dan saya dicurigai penyakit Graves. Saya takut dengan penyakit ini, apakah bisa sembuh, dok? Terima kasih."
600,"Hallo, dok. Disini saya seorang penderita penyakit Graves yang matanya menonjol. Mau tanya, dok.. Apakah ada jalan untuk pengobatan mata menonjol saya dengan semacam obat tetes? Supaya tidak merepotkan. Terima kasih."
500,"Pagi dokter... Saya penderita kelenjar tiroid yang terletak di depan leher saya. Keluhan benjolan di leher ini membuat saya tidak nyaman. Karena itu saya juga stress dan sakit kepala luar biasa. Apakah ada solusi untuk itu, dok? Makasih."
400,"Hallo, dok... Saya seorang remaja usia 18 tahun. Saya ada keluhan mata saya di kaca ko keliatan agak sedikit juling ya, dok. Saya sempet cerita ke ibu saya. Kata ibu saya, dulu pernah seperti itu juga dan masalahnya ada di kelenjar gondok. Katanya nama penyakitnya Graves disease. Saya diminta untuk periksa ke dokter. Apakah benar saya juga mengalami penyakit Graves? Terima kasih."
300,Apakah mata juling selalu berarti penyakit Graves?
100,Apakah penyakit Graves disebabkan oleh kelenjar gondok?
200,Apakah penyakit Graves lebih banyak terjadi pada perempuan?
300,"Mata tampak menonjol tanpa disadari, apakah itu salah satu tanda dan gejala penyakit Graves?"
300,Apakah penurunan berat badan drastis dan mata menonjol selalu berarti Graves disease?
300,"Apakah gejala mata membengkak, terasa berair, dan nyeri sudah beberapa bulan curiga penyakit Graves?"
300,Apakah mata menonjol keluar dan kelopak mata yang sulit menutup artinya ada masalah dengan kelenjar gondok saya?
100,Apakah nama lain dari penyakit Graves adalah hipertiroidisme Graves?
100,Apakah nama lain dari penyakit Graves adalah toxic diffuse goiter?
300,"Apakan badan mudah merasa lelah, berat badan turun drastis, dan tidak kuat dengan panas adalah tanda dan gejala penyakit Graves?"
200,"Jika seorang ibu yang menderita penyakit Graves memiliki seorang anak perempuan, apakah mungkin anak perempuannya juga mengalami penyakit Graves?"
500,Bolehkah penyakit Graves langsung dioperasi saja?
600,Apakah risiko kesehatan jika penyakit Graves tidak diberikan pengobatan dengan tepat?
300,Apakah salah satu gejala penyakit Graves pada perempuan adalah perubahan siklus haid?
500,Terapi radioaktif iodin pada penyakit Graves?
500,Obat betablocker pada penyakit Graves untuk apa?
500,Apa saja indikasi pemberikan obat-obat untuk pasien dengan penyakit Graves?
500,Apakah obat-obatan untuk penyakit Graves memiliki efek samping?
500,Apakah kontraindikasi pemberian obat-obatan untuk penyakit Graves?
300,Apakah salah tanda dan gejala dari penyakit Graves adalah otot-otot yang terasa lemas?
300,Apakah periode menstruasi yang tidak teratur adalah salah satu dari tanda dan gejala penyakit Graves?
600,Apakah eksoftalmus pada mata itu?
400,Apakah tes fungsi tiroid pada pasien dengan kecurigaan penyakit Graves diperlukan?
400,Apakah tes serapan yodium radioaktif pada pasien dengan kecurigaan penyakit Graves diperlukan?
400,Apakah tes antibodi pada pasien dengan kecurigaan penyakit Graves diperlukan?
600,Apakah oftalmopati Graves itu?
600,Apakah penyakit Graves dapat mengakibatkan gangguan kehamilan?
600,Apakah penyakit Graves dapat mengakibatkan gangguan pada jantung?
600,Apakah penyakit Graves dapat mengakibatkan keadaan krisis tirotoksik?
600,Apakah penyakit Graves dapat mengakibatkan kerapuhan pada tulang?
600,Apakah penyakit Graves dapat mengakibatkan osteoporosis?
600,Apakah penyakit Graves dapat mengakibatkan preeklamsia pada ibu-ibu hamil?
600,Apakah penyakit Graves dapat mengakibatkan gangguan janin pada ibu-ibu yang sedang hamil?
300,"Apakah kondisi peningkatan fungsi tubuh seperti jantung berdebar-debar, keringat berlebih, berat badan turun tanpa pola merupakan gejala dari penyakit Graves?"
400,Apakah temuan laboratorium seperti peningkatan kadar hormon perangsung tiroid (TSH) merupakan gejala dari penyakit Graves?
200,Mengapa wanita berusia 40 tahun berisiko mengalami penyakit Graves?
400,Apakah pemeriksaan radioactive iodine uptake scan perlu dilakukan untuk menegakan diagnosis penyakit Graves?
300,Apakah sensitif terhadap suhu panas dan sering berkeringat merupakan salah satu tanda dan gejala dari penyakit Graves?
300,Apakah detak jantung yang cepat atau tidak teratur merupakan salah satu tanda dan gejala dari penyakit Graves?
300,Apakah keluhan sensitif terhadap cahaya yang disertai dengan mata menonjol merupakan salah satu gejala dari penyakit Graves?
400,Tes darah seperti apa yang diperlukan untuk memastikan diagnosis penyakit Graves?
400,Pemeriksaan fisik seperti apa yang diperlukan untuk memastikan kecurigaan penyakit Graves?
